# ALICE 7 TeV isolated photon (ALICE:2019rtd, arXiv:1906.01371, HEPData ins1738300)
# Observable: d2sigma/(dpT deta) [nb/GeV/c], |eta|<0.27, iso pT^iso<2 GeV R=0.4
# columns: pT_ctr, val_nb, stat, stat, syst
11.000, 3.0104e+01, 5.39179, 5.39179, 6.64163
13.000, 1.6088e+01, 3.20455, 3.20455, 3.13194
15.000, 1.1508e+01, 1.36957, 1.36957, 1.95769
17.000, 5.3743e+00, 0.835492, 0.835492, 0.793429
19.000, 4.7008e+00, 0.693279, 0.693279, 0.621864
22.500, 2.1226e+00, 0.302363, 0.302363, 0.293929
27.500, 8.2377e-01, 0.175993, 0.175993, 0.11602
35.000, 2.9878e-01, 0.0828216, 0.0828216, 0.0439799
50.000, 7.5004e-02, 0.0267651, 0.0267651, 0.0120167
