  8.000E+00  5.605E+01  1.950E+01  7.554E+01
  9.000E+00  2.750E+01  8.843E+00  3.634E+01
  1.000E+01  1.435E+01  4.344E+00  1.870E+01
  1.100E+01  7.878E+00  2.274E+00  1.015E+01
  1.200E+01  4.500E+00  1.241E+00  5.740E+00
  1.300E+01  2.658E+00  7.051E-01  3.363E+00
  1.400E+01  1.615E+00  4.155E-01  2.031E+00
  1.500E+01  1.005E+00  2.504E-01  1.256E+00
  1.600E+01  6.391E-01  1.544E-01  7.936E-01
  1.700E+01  4.138E-01  9.764E-02  5.114E-01
  1.800E+01  2.721E-01  6.299E-02  3.351E-01
  1.900E+01  1.815E-01  4.128E-02  2.228E-01
  2.000E+01  1.226E-01  2.754E-02  1.501E-01
  2.100E+01  8.367E-02  1.843E-02  1.021E-01
  2.200E+01  5.768E-02  1.250E-02  7.017E-02
  2.300E+01  4.009E-02  8.572E-03  4.866E-02
  2.400E+01  2.809E-02  5.955E-03  3.405E-02
  2.500E+01  1.981E-02  4.151E-03  2.396E-02
  2.600E+01  1.406E-02  2.918E-03  1.698E-02
  2.700E+01  1.003E-02  2.068E-03  1.210E-02
  2.800E+01  7.192E-03  1.474E-03  8.666E-03
  2.900E+01  5.178E-03  1.056E-03  6.234E-03
  3.000E+01  3.742E-03  7.619E-04  4.504E-03
